instance,name,num,seed,initial_ct,final_ct,time,solution_file
62_ros,roszieg,62,14,36.0,13,1.18874192237854,solutions/ils/62_ros_ils_seed14.txt
71_ros,roszieg,71,10,31.0,15,4.594976186752319,solutions/ils/71_ros_ils_seed10.txt
71_ros,roszieg,71,11,23.0,15,0.07327628135681152,solutions/ils/71_ros_ils_seed11.txt
71_ros,roszieg,71,12,28.0,15,0.06912612915039062,solutions/ils/71_ros_ils_seed12.txt
71_ros,roszieg,71,13,24.0,15,3.5085229873657227,solutions/ils/71_ros_ils_seed13.txt
71_ros,roszieg,71,14,23.0,15,0.5646388530731201,solutions/ils/71_ros_ils_seed14.txt
72_ros,roszieg,72,10,28.0,16,0.1241450309753418,solutions/ils/72_ros_ils_seed10.txt
72_ros,roszieg,72,11,47.0,16,0.3942699432373047,solutions/ils/72_ros_ils_seed11.txt
72_ros,roszieg,72,12,18.0,16,0.7021400928497314,solutions/ils/72_ros_ils_seed12.txt
72_ros,roszieg,72,13,30.0,16,1.0149056911468506,solutions/ils/72_ros_ils_seed13.txt
72_ros,roszieg,72,14,25.0,16,0.8462200164794922,solutions/ils/72_ros_ils_seed14.txt
1_ton,tonge,1,10,663.0,94,195.07404494285583,solutions/ils/1_ton_ils_seed10.txt
1_ton,tonge,1,11,2003.0,102,192.23399186134338,solutions/ils/1_ton_ils_seed11.txt
1_ton,tonge,1,12,677.0,97,194.3599910736084,solutions/ils/1_ton_ils_seed12.txt
1_ton,tonge,1,13,1819.0,97,195.00602388381958,solutions/ils/1_ton_ils_seed13.txt
1_ton,tonge,1,14,1869.0,106,195.134663105011,solutions/ils/1_ton_ils_seed14.txt
2_ton,tonge,2,10,626.0,96,176.9108591079712,solutions/ils/2_ton_ils_seed10.txt
2_ton,tonge,2,11,2109.0,99,177.23293209075928,solutions/ils/2_ton_ils_seed11.txt
2_ton,tonge,2,12,2109.0,89,182.89574694633484,solutions/ils/2_ton_ils_seed12.txt
2_ton,tonge,2,13,1224.0,96,186.9953088760376,solutions/ils/2_ton_ils_seed13.txt
